Collection,Property,Default Datafile,Category
Generators,Units,,Other RES
Generators,Max Capacity,,Other RES
Generators,Rating Factor,,Other RES
Generators,Rating Factor,Datafile,Other RES
Generators,Units,,Onshore Wind Expansion
Generators,Units,Datafile,Onshore Wind Expansion
Generators,Max Capacity,,Onshore Wind Expansion
Generators,FO&M Charge,,Onshore Wind Expansion
Generators,Rating Factor,Datafile,Onshore Wind Expansion
Generators,Build Cost,,Onshore Wind Expansion
Generators,WACC,,Onshore Wind Expansion
Generators,Economic Life,,Onshore Wind Expansion
Generators,Max Units Built,Datafile,Onshore Wind Expansion
Generators,Units,,Rooftop Solar Tertiary
Generators,Max Capacity,,Rooftop Solar Tertiary
Generators,Rating Factor,Datafile,Rooftop Solar Tertiary
Generators,Units,,Onshore Wind
Generators,Max Capacity,,Onshore Wind
Generators,Rating Factor,Datafile,Onshore Wind
Generators,Units,,Rooftop Tertiary Solar Expansion
Generators,Units,Datafile,Rooftop Tertiary Solar Expansion
Generators,Max Capacity,,Rooftop Tertiary Solar Expansion
Generators,FO&M Charge,,Rooftop Tertiary Solar Expansion
Generators,Rating Factor,Datafile,Rooftop Tertiary Solar Expansion
Generators,Build Cost,,Rooftop Tertiary Solar Expansion
Generators,WACC,,Rooftop Tertiary Solar Expansion
Generators,Economic Life,,Rooftop Tertiary Solar Expansion
Generators,Max Units Built,Datafile,Rooftop Tertiary Solar Expansion
Generators,Units,,Pump Storage - closed loop
Generators,Max Capacity,,Pump Storage - closed loop
Generators,Rating,Datafile,Pump Storage - closed loop
Generators,Pump Efficiency,,Pump Storage - closed loop
Generators,Pump Load,,Pump Storage - closed loop
Generators,Pump Load,Datafile,Pump Storage - closed loop
Generators,Max Energy Week,Datafile,Pump Storage - closed loop
Generators,Min Energy Week,Datafile,Pump Storage - closed loop
Generators,Units,,Solar PV Expansion
Generators,Units,Datafile,Solar PV Expansion
Generators,Max Capacity,,Solar PV Expansion
Generators,FO&M Charge,,Solar PV Expansion
Generators,Rating Factor,Datafile,Solar PV Expansion
Generators,Build Cost,,Solar PV Expansion
Generators,WACC,,Solar PV Expansion
Generators,Economic Life,,Solar PV Expansion
Generators,Max Units Built,Datafile,Solar PV Expansion
Generators,Units,,DSR Industry
Generators,Max Capacity,,DSR Industry
Generators,Offer Quantity,,DSR Industry
Generators,Offer Price,,DSR Industry
Generators,Units,,Offshore Wind Radial
Generators,Max Capacity,,Offshore Wind Radial
Generators,Rating Factor,Datafile,Offshore Wind Radial
Generators,Units,,Solar PV
Generators,Max Capacity,,Solar PV
Generators,Rating Factor,Datafile,Solar PV
Generators,Units,,RoR and Pondage
Generators,Max Capacity,,RoR and Pondage
Generators,Rating,Datafile,RoR and Pondage
Generators,Min Load,Datafile,RoR and Pondage
Generators,Units,,Bio Fuels
Generators,Max Capacity,,Bio Fuels
Generators,Offer Quantity,,Bio Fuels
Generators,Offer Price,,Bio Fuels
Generators,Min Stable Factor,,Bio Fuels
Generators,Heat Rate,,Bio Fuels
Generators,VO&M Charge,,Bio Fuels
Generators,Start Cost,,Bio Fuels
Generators,Min Up Time,,Bio Fuels
Generators,Min Down Time,,Bio Fuels
Generators,Forced Outage Rate,,Bio Fuels
Generators,Maintenance Rate,,Bio Fuels
Generators,Mean Time to Repair,,Bio Fuels
Generators,Max Units Retired,,Bio Fuels
Generators,Units,,Other Non RES
Generators,Max Capacity,,Other Non RES
Generators,Offer Quantity,,Other Non RES
Generators,Offer Price,,Other Non RES
Generators,Offer Quantity,Datafile,Other Non RES
Generators,Units,,Rooftop Residential Solar Expansion
Generators,Units,Datafile,Rooftop Residential Solar Expansion
Generators,Max Capacity,,Rooftop Residential Solar Expansion
Generators,FO&M Charge,,Rooftop Residential Solar Expansion
Generators,Rating Factor,Datafile,Rooftop Residential Solar Expansion
Generators,Build Cost,,Rooftop Residential Solar Expansion
Generators,WACC,,Rooftop Residential Solar Expansion
Generators,Economic Life,,Rooftop Residential Solar Expansion
Generators,Max Units Built,Datafile,Rooftop Residential Solar Expansion
Generators,Units,,Solar Thermal
Generators,Max Capacity,,Solar Thermal
Generators,Rating Factor,Datafile,Solar Thermal
Generators,Units,,Reservoir
Generators,Max Capacity,,Reservoir
Generators,Rating,Datafile,Reservoir
Generators,Min Energy Week,Datafile,Reservoir
Generators,Units,,DSR Tertiary
Generators,Max Capacity,,DSR Tertiary
Generators,Offer Quantity,,DSR Tertiary
Generators,Offer Price,,DSR Tertiary
Generators,Units,,Pump Storage - open loop
Generators,Max Capacity,,Pump Storage - open loop
Generators,Rating,Datafile,Pump Storage - open loop
Generators,Pump Efficiency,,Pump Storage - open loop
Generators,Pump Load,Datafile,Pump Storage - open loop
Generators,Pump Load,,Pump Storage - open loop
Generators,Min Load,Datafile,Pump Storage - open loop
Generators,Max Energy Week,Datafile,Pump Storage - open loop
Generators,Min Energy Week,Datafile,Pump Storage - open loop
Generators,Units,,Rooftop Solar Residential
Generators,Max Capacity,,Rooftop Solar Residential
Generators,Rating Factor,Datafile,Rooftop Solar Residential
Generators,Units,,Gas
Generators,Max Capacity,,Gas
Generators,Min Stable Factor,,Gas
Generators,Heat Rate,,Gas
Generators,VO&M Charge,,Gas
Generators,FO&M Charge,,Gas
Generators,Start Cost,,Gas
Generators,Min Up Time,,Gas
Generators,Min Down Time,,Gas
Generators,Forced Outage Rate,,Gas
Generators,Maintenance Rate,,Gas
Generators,Mean Time to Repair,,Gas
Generators,Build Cost,,Gas
Generators,WACC,,Gas
Generators,Economic Life,,Gas
Generators,Max Units Built,,Gas
Generators,Max Units Retired,,Gas
Generators,Units,Datafile,Gas
Generators,Units,Datafile,Nuclear
Generators,Max Capacity,Datafile,Nuclear
Generators,Min Stable Factor,,Nuclear
Generators,Heat Rate,,Nuclear
Generators,VO&M Charge,,Nuclear
Generators,Start Cost,,Nuclear
Generators,Min Up Time,,Nuclear
Generators,Min Down Time,,Nuclear
Generators,Forced Outage Rate,,Nuclear
Generators,Maintenance Rate,,Nuclear
Generators,Mean Time to Repair,,Nuclear
Generators,Max Units Retired,,Nuclear
Generators,Units,,Offshore Wind Radial Fixed Bottom
Generators,Units,Datafile,Offshore Wind Radial Fixed Bottom
Generators,Max Capacity,,Offshore Wind Radial Fixed Bottom
Generators,FO&M Charge,,Offshore Wind Radial Fixed Bottom
Generators,Rating Factor,Datafile,Offshore Wind Radial Fixed Bottom
Generators,Build Cost,,Offshore Wind Radial Fixed Bottom
Generators,WACC,,Offshore Wind Radial Fixed Bottom
Generators,Economic Life,,Offshore Wind Radial Fixed Bottom
Generators,Max Units Built,Datafile,Offshore Wind Radial Fixed Bottom
Generators,Units,,Offshore Wind Hub Fixed Bottom
Generators,Units,Datafile,Offshore Wind Hub Fixed Bottom
Generators,Max Capacity,,Offshore Wind Hub Fixed Bottom
Generators,FO&M Charge,,Offshore Wind Hub Fixed Bottom
Generators,Rating Factor,Datafile,Offshore Wind Hub Fixed Bottom
Generators,Build Cost,,Offshore Wind Hub Fixed Bottom
Generators,WACC,,Offshore Wind Hub Fixed Bottom
Generators,Economic Life,,Offshore Wind Hub Fixed Bottom
Generators,Max Units Built,Datafile,Offshore Wind Hub Fixed Bottom
Generators,Units,,Z2DR Solar PV
Generators,Units,Datafile,Z2DR Solar PV
Generators,Max Capacity,,Z2DR Solar PV
Generators,FO&M Charge,,Z2DR Solar PV
Generators,Rating Factor,Datafile,Z2DR Solar PV
Generators,Build Cost,,Z2DR Solar PV
Generators,WACC,,Z2DR Solar PV
Generators,Economic Life,,Z2DR Solar PV
Generators,Max Units Built,,Z2DR Solar PV
Generators,Units,,Z2DR Onshore Wind
Generators,Units,Datafile,Z2DR Onshore Wind
Generators,Max Capacity,,Z2DR Onshore Wind
Generators,FO&M Charge,,Z2DR Onshore Wind
Generators,Rating Factor,Datafile,Z2DR Onshore Wind
Generators,Build Cost,,Z2DR Onshore Wind
Generators,WACC,,Z2DR Onshore Wind
Generators,Economic Life,,Z2DR Onshore Wind
Generators,Max Units Built,,Z2DR Onshore Wind
Generators,Units,,H2 Imports
Generators,Units,Datafile,H2 Imports
Generators,Max Capacity,,H2 Imports
Generators,FO&M Charge,,H2 Imports
Generators,Rating Factor,Datafile,H2 Imports
Generators,Build Cost,,H2 Imports
Generators,WACC,,H2 Imports
Generators,Economic Life,,H2 Imports
Generators,Max Units Built,,H2 Imports
Generators,Units,,H2 CCGT New
Generators,Units,Datafile,H2 CCGT New
Generators,Max Capacity,,H2 CCGT New
Generators,Min Stable Factor,,H2 CCGT New
Generators,Heat Rate,,H2 CCGT New
Generators,VO&M Charge,,H2 CCGT New
Generators,FO&M Charge,,H2 CCGT New
Generators,Start Cost,,H2 CCGT New
Generators,Min Up Time,,H2 CCGT New
Generators,Min Down Time,,H2 CCGT New
Generators,Forced Outage Rate,,H2 CCGT New
Generators,Maintenance Rate,,H2 CCGT New
Generators,Mean Time to Repair,,H2 CCGT New
Generators,Build Cost,,H2 CCGT New
Generators,WACC,,H2 CCGT New
Generators,Economic Life,,H2 CCGT New
Generators,Max Units Built,,H2 CCGT New
Generators,Units,,H2 OCGT New
Generators,Units,Datafile,H2 OCGT New
Generators,Max Capacity,,H2 OCGT New
Generators,Min Stable Factor,,H2 OCGT New
Generators,Heat Rate,,H2 OCGT New
Generators,VO&M Charge,,H2 OCGT New
Generators,FO&M Charge,,H2 OCGT New
Generators,Start Cost,,H2 OCGT New
Generators,Min Up Time,,H2 OCGT New
Generators,Min Down Time,,H2 OCGT New
Generators,Forced Outage Rate,,H2 OCGT New
Generators,Maintenance Rate,,H2 OCGT New
Generators,Mean Time to Repair,,H2 OCGT New
Generators,Build Cost,,H2 OCGT New
Generators,WACC,,H2 OCGT New
Generators,Economic Life,,H2 OCGT New
Generators,Max Units Built,,H2 OCGT New
Generators,Units,Datafile,H2 Retrofit
Generators,Max Capacity,,H2 Retrofit
Generators,Min Stable Factor,,H2 Retrofit
Generators,Heat Rate,,H2 Retrofit
Generators,VO&M Charge,,H2 Retrofit
Generators,FO&M Charge,,H2 Retrofit
Generators,Start Cost,,H2 Retrofit
Generators,Min Up Time,,H2 Retrofit
Generators,Min Down Time,,H2 Retrofit
Generators,Forced Outage Rate,,H2 Retrofit
Generators,Maintenance Rate,,H2 Retrofit
Generators,Mean Time to Repair,,H2 Retrofit
Generators,Build Cost,,H2 Retrofit
Generators,WACC,,H2 Retrofit
Generators,Economic Life,,H2 Retrofit
Generators,Max Units Built,,H2 Retrofit
Generators,Max Units Retired,,H2 Retrofit
Generators,Units,,Future tech
Generators,Max Capacity,,Future tech
Generators,VO&M Charge,,Future tech
Generators,Units,,Nuclear SMR
Generators,Units,Datafile,Nuclear SMR
Generators,Max Capacity,,Nuclear SMR
Generators,Min Stable Factor,,Nuclear SMR
Generators,Heat Rate,,Nuclear SMR
Generators,VO&M Charge,,Nuclear SMR
Generators,FO&M Charge,,Nuclear SMR
Generators,Start Cost,,Nuclear SMR
Generators,Min Up Time,,Nuclear SMR
Generators,Min Down Time,,Nuclear SMR
Generators,Forced Outage Rate,,Nuclear SMR
Generators,Maintenance Rate,,Nuclear SMR
Generators,Mean Time to Repair,,Nuclear SMR
Generators,Build Cost,,Nuclear SMR
Generators,WACC,,Nuclear SMR
Generators,Economic Life,,Nuclear SMR
Generators,Max Units Built,,Nuclear SMR
Fuels,Price,,Bio Fuels
Fuels,Price,Datafile,Nuclear
Fuels,Price,Datafile,Hard coal
Fuels,Price,Datafile,Lignite
Fuels,Price,Datafile,Gas
Fuels,Price,Datafile,Light oil
Fuels,Price,Datafile,Heavy oil
Fuels,Price,Datafile,Oil shale
Power2X,Units,,H2 Imports
Power2X,Units,Datafile,H2 Imports
Power2X,Max Load,,H2 Imports
Power2X,VO&M Charge,,H2 Imports
Power2X,FO&M Charge,,H2 Imports
Power2X,Efficiency,,H2 Imports
Power2X,Water Consumption,,H2 Imports
Power2X,Build Cost,,H2 Imports
Power2X,WACC,,H2 Imports
Power2X,Economic Life,,H2 Imports
Power2X,Max Units Built,,H2 Imports
Power2X,Units,,H2 Offshore
Power2X,Units,Datafile,H2 Offshore
Power2X,Max Load,,H2 Offshore
Power2X,VO&M Charge,,H2 Offshore
Power2X,FO&M Charge,,H2 Offshore
Power2X,Efficiency,,H2 Offshore
Power2X,Water Consumption,,H2 Offshore
Power2X,Build Cost,,H2 Offshore
Power2X,WACC,,H2 Offshore
Power2X,Economic Life,,H2 Offshore
Power2X,Max Units Built,,H2 Offshore
Power2X,Units,,Hydrogen Market
Power2X,Units,Datafile,Hydrogen Market
Power2X,Max Load,,Hydrogen Market
Power2X,VO&M Charge,,Hydrogen Market
Power2X,FO&M Charge,,Hydrogen Market
Power2X,Efficiency,,Hydrogen Market
Power2X,Water Consumption,,Hydrogen Market
Power2X,Build Cost,,Hydrogen Market
Power2X,WACC,,Hydrogen Market
Power2X,Economic Life,,Hydrogen Market
Power2X,Max Units Built,,Hydrogen Market
Power2X,Units,,Zone 2 Dedicated RES
Power2X,Units,Datafile,Zone 2 Dedicated RES
Power2X,Max Load,,Zone 2 Dedicated RES
Power2X,VO&M Charge,,Zone 2 Dedicated RES
Power2X,FO&M Charge,,Zone 2 Dedicated RES
Power2X,Efficiency,,Zone 2 Dedicated RES
Power2X,Water Consumption,,Zone 2 Dedicated RES
Power2X,Build Cost,,Zone 2 Dedicated RES
Power2X,WACC,,Zone 2 Dedicated RES
Power2X,Economic Life,,Zone 2 Dedicated RES
Power2X,Max Units Built,,Zone 2 Dedicated RES
Batteries,Units,Datafile,Residential Battery Expansion
Batteries,Capacity,,Residential Battery Expansion
Batteries,Max Power,,Residential Battery Expansion
Batteries,Max Load,,Residential Battery Expansion
Batteries,Initial SoC,,Residential Battery Expansion
Batteries,Charge Efficiency,,Residential Battery Expansion
Batteries,Discharge Efficiency,,Residential Battery Expansion
Batteries,Units,Datafile,Tertiary Battery Expansion
Batteries,Capacity,,Tertiary Battery Expansion
Batteries,Max Power,,Tertiary Battery Expansion
Batteries,Max Load,,Tertiary Battery Expansion
Batteries,Initial SoC,,Tertiary Battery Expansion
Batteries,Charge Efficiency,,Tertiary Battery Expansion
Batteries,Discharge Efficiency,,Tertiary Battery Expansion
Batteries,Units,,Market Battery Expansion
Batteries,Units,Datafile,Market Battery Expansion
Batteries,Capacity,,Market Battery Expansion
Batteries,Max Power,,Market Battery Expansion
Batteries,Max Load,,Market Battery Expansion
Batteries,Initial SoC,,Market Battery Expansion
Batteries,Charge Efficiency,,Market Battery Expansion
Batteries,Discharge Efficiency,,Market Battery Expansion
Batteries,Max Units Built,,Market Battery Expansion
Batteries,Build Cost,,Market Battery Expansion
Batteries,WACC,,Market Battery Expansion
Batteries,Economic Life,,Market Battery Expansion
Batteries,Units,,Market Batteries
Batteries,Capacity,,Market Batteries
Batteries,Max Power,,Market Batteries
Batteries,Initial SoC,,Market Batteries
Batteries,Charge Efficiency,,Market Batteries
Batteries,Units,,PSBT Residential
Batteries,Capacity,,PSBT Residential
Batteries,Max Power,,PSBT Residential
Batteries,Initial SoC,,PSBT Residential
Batteries,Charge Efficiency,,PSBT Residential
Batteries,Units,,PSBT Tertiary
Batteries,Capacity,,PSBT Tertiary
Batteries,Max Power,,PSBT Tertiary
Batteries,Initial SoC,,PSBT Tertiary
Batteries,Charge Efficiency,,PSBT Tertiary
Storages,End Effects Method,,Hydro Tail
Storages,End Effects Method,,Hydro Head
Storages,Spill Penalty,,Hydro Head
Storages,Max Volume,,Hydro Head
Storages,Initial Volume,,Hydro Head
Storages,Natural Inflow,Datafile,Hydro Head
Storages,Target Year,,Hydro Head
Emissions,Price,,Co2
Emissions,Max Production Year,,Co2
Emissions,Price,Datafile,Co2
Regions,VoLL,,Electricity
Nodes,Load,Datafile,Residential
Nodes,Load,Datafile,Industrial
Nodes,Load,Datafile,Tertiary
Nodes,Load,Datafile,Transport
Lines,Units,,Tertiary
Lines,Max Flow,,Tertiary
Lines,Min Flow,,Tertiary
Lines,Wheeling Charge,,Tertiary
Lines,Wheeling Charge Back,,Tertiary
Lines,Units,,Offshore to Home
Lines,Units,Datafile,Offshore to Home
Lines,Max Flow,,Offshore to Home
Lines,Min Flow,,Offshore to Home
Lines,Wheeling Charge,,Offshore to Home
Lines,Wheeling Charge Back,,Offshore to Home
Lines,Build Cost,,Offshore to Home
Lines,WACC,,Offshore to Home
Lines,Economic Life,,Offshore to Home
Lines,Max Units Built,,Offshore to Home
Lines,Units,,Offshore Hub Expansion
Lines,Units,Datafile,Offshore Hub Expansion
Lines,Max Flow,,Offshore Hub Expansion
Lines,Min Flow,,Offshore Hub Expansion
Lines,Wheeling Charge,,Offshore Hub Expansion
Lines,Wheeling Charge Back,,Offshore Hub Expansion
Lines,Build Cost,,Offshore Hub Expansion
Lines,WACC,,Offshore Hub Expansion
Lines,Economic Life,,Offshore Hub Expansion
Lines,Max Units Built,,Offshore Hub Expansion
Lines,Units,,Transport
Lines,Max Flow,,Transport
Lines,Min Flow,,Transport
Lines,Wheeling Charge,,Transport
Lines,Wheeling Charge Back,,Transport
Lines,Units,,Industrial
Lines,Max Flow,,Industrial
Lines,Min Flow,,Industrial
Lines,Wheeling Charge,,Industrial
Lines,Wheeling Charge Back,,Industrial
Lines,Units,,Residential
Lines,Max Flow,,Residential
Lines,Min Flow,,Residential
Lines,Wheeling Charge,,Residential
Lines,Wheeling Charge Back,,Residential
Lines,Units,,Residential to Transport
Lines,Max Flow,,Residential to Transport
Lines,Min Flow,,Residential to Transport
Lines,Wheeling Charge,,Residential to Transport
Lines,Wheeling Charge Back,,Residential to Transport
Lines,Units,,Electricity
Lines,Max Flow,Datafile,Electricity
Lines,Min Flow,Datafile,Electricity
Lines,Wheeling Charge,,Electricity
Lines,Wheeling Charge Back,,Electricity
Lines,Units,,RoR and Pondage
Lines,Max Flow,,RoR and Pondage
Lines,Min Flow,,RoR and Pondage
Lines,Wheeling Charge,,RoR and Pondage
Lines,Wheeling Charge Back,,RoR and Pondage
Lines,Units,,Reservoir
Lines,Max Flow,,Reservoir
Lines,Min Flow,,Reservoir
